dataset,openml_id,n_samples_orig,n_samples_mod,n_classes,intervention,alpha_orig,r2_orig,alpha_mod,r2_mod,delta_alpha,direction_pred,direction_correct,feature_key,feature_orig,feature_mod,delta_feature,feat_orig_probe_difficulty,feat_orig_class_entropy,feat_orig_label_noise,feat_orig_fisher_ratio,feat_orig_class_imbalance,feat_orig_n_samples,feat_orig_n_features,feat_orig_n_classes,feat_mod_probe_difficulty,feat_mod_class_entropy,feat_mod_label_noise,feat_mod_fisher_ratio,feat_mod_class_imbalance,feat_mod_n_samples,feat_mod_n_features,feat_mod_n_classes
magic-telescope,1120,5000,3561,2,class_imbalance,0.16530143463133604,0.9388648840528194,0.4631944848139462,0.5815615643425951,0.29789305018261014,-1,0,class_entropy,0.648919686874746,0.3041655814034717,-0.3447541054712743,0.4632073499454069,0.648919686874746,0.1906,0.047719407471502155,1.836642087351106,5000,10,2,0.22728888229797733,0.3041655814034717,0.08087615838247683,0.021296661882695814,9.993827160493828,3561,10,2
qsar-biodeg,1494,1055,1055,2,label_noise_10,0.23011464358972442,0.8327845350970209,0.09862925145364952,0.7999186369916963,-0.1314853921360749,-1,1,label_noise,0.2066350710900474,0.3118483412322275,0.1052132701421801,0.37302431739727293,0.6393233357530521,0.2066350710900474,0.014294438542427547,1.9579831932773109,1055,41,2,0.6071331719872766,0.6612598672746652,0.3118483412322275,0.009390317562754503,1.6666666666666667,1055,41,2
qsar-biodeg,1494,1055,1055,2,label_noise_20,0.23011464358972442,0.8327845350970209,0.06792765860340186,0.7233412433222325,-0.16218698498632256,-1,1,label_noise,0.2066350710900474,0.41706161137440756,0.21042654028436017,0.37302431739727293,0.6393233357530521,0.2066350710900474,0.014294438542427547,1.9579831932773109,1055,41,2,0.7736742884392889,0.6820329668909471,0.41706161137440756,0.008769421147884277,1.3466666666666667,1055,41,2
qsar-biodeg,1494,1055,1055,2,feature_noise_03,0.23011464358972442,0.8327845350970209,0.14677367509908681,0.8012118187760671,-0.0833409684906376,-1,1,probe_difficulty,0.37302431739727293,0.4200168083212855,0.04699249092401259,0.37302431739727293,0.6393233357530521,0.2066350710900474,0.014294438542427547,1.9579831932773109,1055,41,2,0.4200168083212855,0.6393233357530521,0.25308056872037915,0.013263221264140281,1.9579831932773109,1055,41,2
qsar-biodeg,1494,1055,1055,2,feature_noise_07,0.23011464358972442,0.8327845350970209,0.22454830038338414,0.8136774768696028,-0.00556634320634028,-1,1,probe_difficulty,0.37302431739727293,0.491162241724852,0.11813792432757908,0.37302431739727293,0.6393233357530521,0.2066350710900474,0.014294438542427547,1.9579831932773109,1055,41,2,0.491162241724852,0.6393233357530521,0.31469194312796206,0.009837197197240593,1.9579831932773109,1055,41,2
qsar-biodeg,1494,1055,1398,2,smote_balance,0.23011464358972442,0.8327845350970209,0.14096615497584494,0.6687602335383888,-0.08914848861387947,1,0,class_entropy,0.6393233357530521,0.6931471803599453,0.053823844606893156,0.37302431739727293,0.6393233357530521,0.2066350710900474,0.014294438542427547,1.9579831932773109,1055,41,2,0.33369562118939033,0.6931471803599453,0.12374821173104435,0.01582252284651193,0.9985714285714286,1398,41,2
qsar-biodeg,1494,1055,768,2,class_imbalance,0.23011464358972442,0.8327845350970209,0.27485695819544387,0.7839105010867197,0.04474231460571945,-1,0,class_entropy,0.6393233357530521,0.3021761683140208,-0.33714716743903134,0.37302431739727293,0.6393233357530521,0.2066350710900474,0.014294438542427547,1.9579831932773109,1055,41,2,0.15920550219880703,0.3021761683140208,0.09635416666666667,0.010786111164402807,9.985714285714286,768,41,2
phoneme,1489,5000,5000,2,label_noise_10,0.24537796610409138,0.7289538742890314,0.046363694182059226,0.8879911506095153,-0.19901427192203214,-1,1,label_noise,0.0968,0.2416,0.1448,0.4672488023078315,0.6010737218323218,0.0968,0.05721702275398089,2.4608996539792387,5000,5,2,0.5586097568035397,0.6338949995875545,0.2416,0.03344625528082708,2.032747119466343,5000,5,2
phoneme,1489,5000,5000,2,label_noise_20,0.24537796610409138,0.7289538742890314,0.006421592962786911,0.30007754906246814,-0.23895637314130447,-1,1,label_noise,0.0968,0.3812,0.2844,0.4672488023078315,0.6010737218323218,0.0968,0.05721702275398089,2.4608996539792387,5000,5,2,0.626536823332385,0.6638679674692388,0.3812,0.016721871635794697,1.6334913112164298,5000,5,2
phoneme,1489,5000,5000,2,feature_noise_03,0.24537796610409138,0.7289538742890314,0.1725433031391021,0.9042562668042827,-0.07283466296498928,-1,1,probe_difficulty,0.4672488023078315,0.4781345516231336,0.010885749315302118,0.4672488023078315,0.6010737218323218,0.0968,0.05721702275398089,2.4608996539792387,5000,5,2,0.4781345516231336,0.6010737218323218,0.2418,0.051153639112489234,2.4608996539792387,5000,5,2
phoneme,1489,5000,5000,2,feature_noise_07,0.24537796610409138,0.7289538742890314,0.10773773180038275,0.7077967183631694,-0.13764023430370864,-1,1,probe_difficulty,0.4672488023078315,0.5078758414061283,0.04062703909829679,0.4672488023078315,0.6010737218323218,0.0968,0.05721702275398089,2.4608996539792387,5000,5,2,0.5078758414061283,0.6010737218323218,0.3086,0.03589095623552907,2.4608996539792387,5000,5,2
phoneme,1489,5000,7112,2,smote_balance,0.24537796610409138,0.7289538742890314,0.16958481582821058,0.5900873102998319,-0.0757931502758808,1,0,class_entropy,0.6010737218323218,0.6931471803599453,0.0920734585276235,0.4672488023078315,0.6010737218323218,0.0968,0.05721702275398089,2.4608996539792387,5000,5,2,0.5236547809313989,0.6931471803599453,0.04541619797525309,0.06426677295017079,0.9997188642114141,7112,5,2
phoneme,1489,5000,3911,2,class_imbalance,0.24537796610409138,0.7289538742890314,0.06509478246173846,0.706735822518381,-0.1802831836423529,-1,1,class_entropy,0.6010737218323218,0.30431484530633274,-0.29675887652598903,0.4672488023078315,0.6010737218323218,0.0968,0.05721702275398089,2.4608996539792387,5000,5,2,0.2566676743921007,0.30431484530633274,0.06750191766811557,0.02336391608667482,9.98876404494382,3911,5,2
ozone,1487,2534,2534,2,label_noise_10,0.24068058259580138,0.5255596564137234,0.08978916224979971,0.9143772838956582,-0.15089142034600167,-1,1,label_noise,0.0734017363851618,0.2308602999210734,0.1574585635359116,0.1757622400682349,0.23552477508910555,0.0734017363851618,0.005018758833107769,14.745341614906833,2534,60,2,0.4237735868458541,0.4233246709617684,0.2308602999210734,0.0008965913656100362,5.636125654450262,2534,60,2
ozone,1487,2534,2534,2,label_noise_20,0.24068058259580138,0.5255596564137234,0.042333185400236846,0.6184126354942576,-0.19834739719556455,-1,1,label_noise,0.0734017363851618,0.35359116022099446,0.2801894238358327,0.1757622400682349,0.23552477508910555,0.0734017363851618,0.005018758833107769,14.745341614906833,2534,60,2,0.5576894318125105,0.5519154726186369,0.35359116022099446,0.0006433242077664723,3.148936170212766,2534,60,2
ozone,1487,2534,2534,2,feature_noise_03,0.24068058259580138,0.5255596564137234,0.21555517913518185,0.5596458335803692,-0.025125403460619533,-1,1,probe_difficulty,0.1757622400682349,0.18594786696153992,0.010185626893305016,0.1757622400682349,0.23552477508910555,0.0734017363851618,0.005018758833107769,14.745341614906833,2534,60,2,0.18594786696153992,0.23552477508910555,0.08958168902920284,0.005551934488838426,14.745341614906833,2534,60,2
